CAMPAIGN_COUNT,CONTROL_HITS,CONTROL_MISSES,CONTROL_PERCENT,CONTROL_POPULATION,CREATIVE_FORMAT_TYPES,DELTA,EXPOSED_HITS,EXPOSED_MISSES,EXPOSED_PERCENT,EXPOSED_POPULATION,LIFT,METRIC_ID,METRIC_NAME,SIGNIFICANCE_LEVEL,FILTER_ID,FILTER_NAME,GROUP_NAME
1,94.454609394,153.708106637,0.3806156336,282,,0.03139264799,199,284,0.4120082816,483,0.08247860892,955948,More than Restaurant Consideration: Packaged Food & Non-Alcoholic Beverages,0.6073751471,22237599,Site All Hits: YouTube,Site All Hits
1,81.408085942,166.754630089,0.3280431777,282,,-0.0009210244456,158,325,0.3271221532,483,-0.002807631764,955949,More than Restaurant Consideration: Personal Care & Beauty,0.02089207324,22237599,Site All Hits: YouTube,Site All Hits
1,85.981202841,162.18151319,0.3464710744,282,,0.003425405966,169,314,0.3498964803,483,0.009886556827,955950,More than Restaurant Consideration: Household Essentials,0.07640961142,22237599,Site All Hits: YouTube,Site All Hits
1,74.289472818,173.873243213,0.2993579133,282,,0.02776423996,158,325,0.3271221532,483,0.09274596971,955951,More than Restaurant Consideration: Flowers,0.574105963,22237599,Site All Hits: YouTube,Site All Hits
1,73.508463979,174.654252052,0.296210749,282,,0.02470022413,155,328,0.3209109731,483,0.08338733221,955952,More than Restaurant Consideration: Baby Supplies,0.5232099284,22237599,Site All Hits: YouTube,Site All Hits
1,88.211523771,159.95119226,0.3554584072,282,,-0.01591389376,164,319,0.3395445135,483,-0.04477005871,955953,More than Restaurant Consideration: Pet Supplies,0.3448087497,22237599,Site All Hits: YouTube,Site All Hits
1,82.59813875,165.564577281,0.3328386313,282,,0.03155060263,176,307,0.364389234,483,0.09479248999,955954,More than Restaurant Consideration: Health & Medicine,0.621697922,22237599,Site All Hits: YouTube,Site All Hits
1,153.275229394,46.683198869,0.6176400381,282,,0.01175954778,304,98,0.6293995859,483,0.01903948425,964357,DashPass Benefits Awareness: $0 delivery fees + 1 Other Benefit,0.2541541616,22237599,Site All Hits: YouTube,Site All Hits
1,86.011036456,133.002658606,0.3465912923,282,,0.02607951513,180,252,0.3726708075,483,0.07524573095,964358,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP users),0.5307084389,22237599,Site All Hits: YouTube,Site All Hits
1,25.489948094,193.523746967,0.1027146563,282,,-0.01368774123,43,389,0.08902691511,483,-0.1332598649,964359,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP aware non-users),0.4684355417,22237599,Site All Hits: YouTube,Site All Hits
1,26.377274156,221.785441875,0.106290238,282,,0.05105965846,76,407,0.1573498965,483,0.4803795664,964360,DashPass Aided Awareness (DD aware non-users),0.951384397,22237599,Site All Hits: YouTube,Site All Hits
